frame,joint_name,x,y
220,head,303,14
220,shoulder,468,150
220,hip,208,434
220,knee,208,434
220,handle,360,754
221,head,303,14
221,shoulder,468,150
221,hip,208,432
221,knee,208,432
221,handle,361,753
222,head,303,14
222,shoulder,469,150
222,hip,207,430
222,knee,207,430
222,handle,363,753
223,head,303,14
223,shoulder,469,153
223,hip,208,431
223,knee,208,431
223,handle,363,753
224,head,303,14
224,shoulder,462,155
224,hip,210,433
224,knee,210,433
224,handle,363,753
225,head,303,14
225,shoulder,449,155
225,hip,211,434
225,knee,211,434
225,handle,363,752
226,head,303,14
226,shoulder,426,152
226,hip,212,436
226,knee,212,436
226,handle,363,752
227,head,303,14
227,shoulder,403,150
227,hip,214,437
227,knee,214,437
227,handle,362,752
228,head,303,14
228,shoulder,371,143
228,hip,216,437
228,knee,216,437
228,handle,361,751
229,head,303,14
229,shoulder,347,138
229,hip,218,436
229,knee,218,436
229,handle,360,751
230,head,303,14
230,shoulder,330,139
230,hip,253,433
230,knee,253,433
230,handle,359,751
231,head,303,15
231,shoulder,322,147
231,hip,283,433
231,knee,283,433
231,handle,357,751
232,head,303,15
232,shoulder,316,158
232,hip,307,435
232,knee,307,435
232,handle,356,752
233,head,303,16
233,shoulder,314,170
233,hip,324,436
233,knee,324,436
233,handle,356,752
234,head,303,16
234,shoulder,313,183
234,hip,339,438
234,knee,339,438
234,handle,356,752
235,head,303,16
235,shoulder,311,191
235,hip,320,443
235,knee,320,443
235,handle,356,751
236,head,303,16
236,shoulder,309,196
236,hip,308,446
236,knee,308,446
236,handle,356,751
237,head,303,16
237,shoulder,307,197
237,hip,303,447
237,knee,303,447
237,handle,356,751
238,head,303,16
238,shoulder,307,193
238,hip,304,448
238,knee,304,448
238,handle,354,752
239,head,303,16
239,shoulder,307,189
239,hip,311,448
239,knee,311,448
239,handle,351,753
240,head,303,16
240,shoulder,308,184
240,hip,324,446
240,knee,324,446
240,handle,349,754
241,head,303,16
241,shoulder,308,180
241,hip,343,443
241,knee,343,443
241,handle,347,756
242,head,303,15
242,shoulder,315,175
242,hip,366,440
242,knee,366,440
242,handle,345,757
243,head,303,15
243,shoulder,327,170
243,hip,396,435
243,knee,396,435
243,handle,344,760
244,head,303,15
244,shoulder,341,168
244,hip,431,431
244,knee,431,431
244,handle,344,763
245,head,303,15
245,shoulder,363,167
245,hip,468,428
245,knee,468,428
245,handle,344,766
246,head,303,15
246,shoulder,389,170
246,hip,499,426
246,knee,499,426
246,handle,343,769
247,head,303,16
247,shoulder,418,178
247,hip,527,426
247,knee,527,426
247,handle,343,772
248,head,303,16
248,shoulder,441,186
248,hip,556,431
248,knee,556,431
248,handle,343,774
249,head,303,16
249,shoulder,461,192
249,hip,572,431
249,knee,572,431
249,handle,341,777
250,head,303,17
250,shoulder,473,196
250,hip,580,430
250,knee,580,430
250,handle,339,779
251,head,303,17
251,shoulder,480,196
251,hip,595,430
251,knee,595,430
251,handle,337,781
252,head,303,18
252,shoulder,479,193
252,hip,611,430
252,knee,611,430
252,handle,335,784
253,head,302,18
253,shoulder,479,193
253,hip,628,428
253,knee,628,428
253,handle,334,786
254,head,302,18
254,shoulder,480,193
254,hip,655,431
254,knee,655,431
254,handle,334,788
255,head,302,18
255,shoulder,480,194
255,hip,685,438
255,knee,685,438
255,handle,334,791
256,head,302,18
256,shoulder,480,194
256,hip,712,448
256,knee,712,448
256,handle,335,793
257,head,302,19
257,shoulder,480,195
257,hip,735,456
257,knee,735,456
257,handle,336,796
258,head,302,19
258,shoulder,480,195
258,hip,754,464
258,knee,754,464
258,handle,335,797
259,head,302,19
259,shoulder,480,195
259,hip,766,472
259,knee,766,472
259,handle,334,798
260,head,302,19
260,shoulder,481,195
260,hip,776,477
260,knee,776,477
260,handle,333,799
261,head,302,18
261,shoulder,481,196
261,hip,780,478
261,knee,780,478
261,handle,331,800
262,head,302,18
262,shoulder,482,196
262,hip,783,481
262,knee,783,481
262,handle,330,801
263,head,302,18
263,shoulder,482,196
263,hip,781,477
263,knee,781,477
263,handle,328,803
264,head,302,18
264,shoulder,482,196
264,hip,779,474
264,knee,779,474
264,handle,327,805
265,head,302,18
265,shoulder,482,197
265,hip,777,471
265,knee,777,471
265,handle,327,807
266,head,302,18
266,shoulder,482,197
266,hip,775,468
266,knee,775,468
266,handle,327,810
267,head,302,19
267,shoulder,483,198
267,hip,774,465
267,knee,774,465
267,handle,327,813
268,head,302,19
268,shoulder,483,198
268,hip,775,463
268,knee,775,463
268,handle,326,813
269,head,302,18
269,shoulder,484,198
269,hip,777,461
269,knee,777,461
269,handle,326,813
270,head,302,18
270,shoulder,484,198
270,hip,772,457
270,knee,772,457
270,handle,326,813
271,head,302,18
271,shoulder,485,198
271,hip,768,454
271,knee,768,454
271,handle,325,813
272,head,302,18
